Student ID,School ID,Answer ,Conceptual Code (Jessica and Tasneem),tag 1,tag 2,tag 3,tag 4,tag 5,tag 6
L101,L,I think AI means that it is a robot with intelligence that can help us in our lives to learn.,"non-bio intelligence 
improving human condition",non-bio intelligence ,improving human condition,,,,
L103,L,I think AI means fake intelligence. I know that AI can talk to you and help you do things that you need help with. Also AI can take information and use that information to help people.,"capabilities of AI
non-bio intelligence",capabilities of AI,non-bio intelligence,,,,
L104,L,I think AI means artificial intelligence.,conceptual priming,conceptual priming,,,,,
L105,L,Artificial intelligence in short AI. Artificial means not living and was made by human beings. Intelligence means how smart you or something is,"conceptual priming
human created",conceptual priming,human created,,,,
L106,L,This on a phone or a computer or something that is online.,hardware,hardware,,,,,
L107,L,I think that artificial intelligence means something that is artificial or fake that is being programmed by someone.,"conceptual priming
human created",conceptual priming,human created,,,,
L108,L,"I think AI means intelligence found on the internet. The way it gets that information is from humans putting the information on the internet. I think it also means filling in intelectual gaps, which is why it is sometimes wrong.",non-bio intelligence,non-bio intelligence,,,,,
L109,L,"AI is a tech system that can artifically learn to recoganize animals, objects, human voices and much more. AI can generate images by the data they have been given by their creater. There data being images and human voices.","human created
capabilities of AI
computational",human created,capabilities of AI,computational,,,
L110,L,"Artificial intelligence is a modern day technology that does not need humans to control it. It is artificial which means it is not real, but it can still be human like. It is intellectual and uses the idea of nueral networks, pathways, and responses.","conceptual
non-bio intelligence
anthropomorphic",conceptual,non-bio intelligence,anthropomorphic,,,
L111,L,like some smart computers,"non-bio intelligence
hardware",non-bio intelligence,hardware,,,,
L112,L,I think that it is a computer or divi ce that can help people online like google or in video games there are AI that you can go up against.,"hardware
capabilities of AI",hardware,capabilities of AI,,,,
L113,L,It means that the intelligence is fake,"conceptual priming 
non-bio intelligence",conceptual priming ,non-bio intelligence,,,,
L115,L,I think it means that it's a piece of technology that has been given information over time in order to give information to us.,computational,computational,,,,,
L114,L,AI is artificial intelligence. AI is fake intelligence which is not real. AI is trained by humans so it can only have the intelligence humans have.,"conceptual priming
computational 
non-bio intelligence
human created",conceptual priming,computational,non-bio intelligence,human created,,
L117,L,Artificial intelligence is a tool to use when you need easy access to certain information. It can useful when you need to do research on a specific topic. AI collects information from several web sources and compiles it into new paragraphs.,capabilities of AI,capabilities of AI,,,,,
L116,L,I think it means the that we create random things. it creates several pictures. it will be as creative as posible.,"capabilites of AI
anthropomorphic",capabilities of AI,anthropomorphic,,,,
L118,L,AI means artificial intelligence. AI takes time to learn overtime. It then uses a 1-100 scale to guess what an object is.,"capabilities of AI
conceptual priming",capabilities of AI,conceptual priming,,,,
L119,L,I think ai means it is man made. People show ai a bunch of pictures or articals to ansure peoples qustions.,"human created
capabilites of AI",human created,capabilities of AI,,,,
L120,L,I think that AI means that computers will take over the world. I don't know when the computers will take over the world but as soon as it does I will try to stop them. AI can be helpful or it can be dangerous. It all depends on how we program it.,"hardware
computational
negative outlook
human created",hardware,computational,negative outlook,human created,,
L121,L,"Aritfical intelligence has gained great popularity over the past few years. I means unreal intelligence that can help to creat ideas, queshtions and point of veiws and other helpful . but ai can also have negitive impact on the world.","capabilities of AI
conceptual priming
improving human condition
negative outlook",capabilities of AI,conceptual priming,improving human condition,negative outlook,,
L122,L,i think it means the evolution of human abilitys but also a need for rise in caution. AI will always have mistakes and sometimes wont be able to be fixed as the use very long codes. but to use AI to advance in human civilization and new reserch,"improving human condition
computational
negative outlook",improving human condition,computational,negative outlook,,,
L123,L,"I think that AI is a computer that is shown something a lot so that it can recognize what it is and show it to the searcher. They can also be programmed to move, do something, transport someone, or sense something. I think that AI means something that can be programmed or taught to do or show something.","hardware
computational
capabilities of AI",hardware,computational,capabilities of AI,,,
L123,L,AI means a artificial intelligence that can do things that some people cant do on their own. like for example some people cant do a flip but if you program a AI to do a flip then it can do a flip. which means that hypotheticaly someone could program AI to do something bad and the AI would do that exactly what it was told.,"improving human condition
human created
computational 
conceptual priming
negative outlook",improving human condition,human created,computational,conceptual priming,negative outlook,
M101,M,"I believe that artificial intelligence means programming machines or technology to do things that usually would be done by humans. It can be with a variety of different forms of technology and help people in many different ways, from teaching to finding out the bestways to farm crops.","hardware
computational
improving human condition
anthropomorphic",hardware,computational,improving human condition,anthropomorphic,,
M102,M,I think it means that it is not actually a human being but it is a program that can help you solve things. I think it also means that it can generate things and solve problems. AI is usually a program that people code to help them with their needs.,"capabilities of AI 
improving human condition
computational
non-bio intelligence",capabilities of AI,improving human condition,computational,non-bio intelligence,,
